Name, URL
Conference on Human Factors in Computing (CHI), https://dl.acm.org/conference/chi, https://chi2026.acm.org/ 
Computer Supported Cooperative Work (CSCW), https://dl.acm.org/conference/cscw, https://cscw.acm.org/2025/ 
Fairness, Accountability, and Transparency (FACCT), https://dl.acm.org/conference/facct, https://facctconference.org/ 
Tangible and Embedded Interaction (TEI), https://dl.acm.org/conference/tei, https://tei.acm.org/2026/ 
Nordic Conference on Human-Computer Interaction (NordiCHI), https://sites.uwasa.fi/nordichi2026/ 
AI Ethics, and Society (AIES), https://dl.acm.org/conference/aies 
Mensch und Computer (MuC), https://dl.acm.org/conference/mundc, https://muc2025.mensch-und-computer.de/de/ 
INTERACT, https://interact2025.org/ 
Participatory Design Conference (PDC), https://www.pdc2026.polimi.it/ 
Weizenbaum Conference, https://www.weizenbaum-institut.de/en/transfer/mediating-and-networking/weizenbaum-conference/, https://www.weizenbaum-conference.de/ 
Designing Interactive Systems (DIS), https://dl.acm.org/conference/dis, https://dis.acm.org/2026/ 
European Conference on Computer Supported Cooperative Work (ECSCW), https://ecscw.eusset.eu/2025/, https://dblp.org/db/conf/ecscw/index.html 
International Conference on Information Systems (ICIS), https://icis2025.aisconferences.org/, https://aisel.aisnet.org/icis/ 
Conference of the European Association for the Study of Science and Technology (EASST), tps://easst.net/conference/easst2026/easst2026-home/ 
